claim_id,claim
C1,"P-A controls Telegram account @north_falcon77"
C2,"P-B controls Telegram account @north_falcon77"
C3,"The operator of @north_falcon77 is affiliated with Z-17 in March 2026"
C4,"P-A was physically present at K-4 at approximately 18:20 on 2026-03-14"
C5,"P-B was physically present at K-4 at approximately 18:20 on 2026-03-14"
C6,"The image posted by @north_falcon77 at 18:20 was captured at approximately 18:20"
C7,"The person who controls @north_falcon77 created the K-4 image"
C8,"A person affiliated with Z-17 was present at K-4 when the image was created"
C9,"P-A performed the action described in the post"
C10,"P-B performed the action described in the post"
