obs_id,time_eest,source_type,observation,provenance_status,notes
O01,2022-05-03T12:10:00+03:00,archived forum profile,"P-A used handle north_falcon77 on hobby-forum.example",strong,"Archive snapshot + profile continuity through 2023"
O02,2025-12-02T09:00:00+03:00,platform metadata,"Telegram account @north_falcon77 first observed in training bundle",medium,"No proof of registration date or continuity from old forum handle"
O03,2025-09-18T14:20:00+03:00,unit social photo,"P-B appears with Z-17 and a falcon-themed sticker on personal gear",strong,"Sticker style is commercially available; not unique identifier"
O04,2026-03-10T21:44:00+03:00,Telegram post,"@north_falcon77 posts a cropped image showing Z-17 equipment marking",medium,"Image provenance unknown; no metadata; could be reposted"
O05,2026-03-14T18:20:00+03:00,Telegram post,"@north_falcon77 posts image captioned as 'K-4 now'",medium,"Upload time known; capture time unknown; image contains no independently verified person"
O06,2026-03-14T17:55:00+03:00,official livestream,"P-A is visibly present on live video in City R",strong,"Continuous livestream segment; City R is ~620 km road distance from K-4"
O07,2026-03-14T18:05:00+03:00,official event stream,"P-A remains visible in City R event coverage",strong,"Makes P-A physical presence at K-4 at 18:20 implausible absent extraordinary evidence"
O08,2026-03-14T18:00:00+03:00,unknown,"No verified location evidence for P-B during 18:00-19:00",none,"Absence of evidence is not evidence of presence"
O09,2026-03-14T18:20:00+03:00,text analysis,"Telegram account uses phrase 'по ходу' in two posts; P-A used same phrase in 2022 forum comments",weak,"Common phrase; low discriminating value"
O10,2026-03-12T07:30:00+03:00,Telegram image,"A falcon-themed sticker appears on equipment in @north_falcon77 post",weak,"Similar theme to P-B gear but sticker is commercially available and image ownership unknown"
O11,2026-03-01T00:00:00+03:00,synthetic affiliation record,"P-B is still assigned to Z-17 in March 2026",strong,"Supports organisational affiliation, not account control or location"
O12,2025-11-30T00:00:00+03:00,synthetic affiliation record,"P-A transferred away from Z-17 before December 2025",strong,"Contradicts current affiliation claim but does not exclude continued contacts or access to old material"
O13,2026-03-14T18:22:00+03:00,Telegram repost,"Another account republishes the K-4 image two minutes later without attribution",medium,"Shows rapid circulation; does not establish original creator"
O14,2026-03-14T18:20:00+03:00,file inspection,"K-4 image has been stripped of original metadata",strong,"Prevents direct capture-time/device inference from supplied file"
O15,2026-03-15T09:10:00+03:00,archive comparison,"Same K-4 image appears in an archive bundle labelled 2026-03-13, one day before Telegram post",medium,"Archive label provenance is incomplete; enough to challenge assumption that post time equals capture time"
